EmployeeID,EmployeeName,Department,MonthlySalary,OrderDate,ExpenseType,ExpenseSource
101,John Doe,Research,5315.28,2023-01-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-02-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-03-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-04-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-05-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-06-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-07-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-08-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-09-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-10-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-11-01T00:00:00.0000000,Salary,Company
101,John Doe,Research,5315.28,2023-12-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-01-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-02-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-03-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-04-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-05-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-06-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-07-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-08-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-09-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-10-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-11-01T00:00:00.0000000,Salary,Company
102,Jane Smith,Production,4535.32,2023-12-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,5500.23,2023-01-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3380.88,2023-02-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3665.68,2023-03-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,1815.34,2023-04-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,2632.32,2023-05-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3363.24,2023-06-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,5821.17,2023-07-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,1532.62,2023-08-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3537.21,2023-09-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3059.47,2023-10-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,2524.93,2023-11-01T00:00:00.0000000,Salary,Company
103,Alice Johnson,Sales,3451.34,2023-12-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-01-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-02-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-03-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-04-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-05-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-06-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-07-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-08-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-09-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-10-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-11-01T00:00:00.0000000,Salary,Company
104,Jarvis Mayfield,Research,2546.71,2023-12-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-01-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-02-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-03-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-04-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-05-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-06-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-07-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-08-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-09-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-10-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-11-01T00:00:00.0000000,Salary,Company
105,Ronaldo Ferrel,Production,3231.43,2023-12-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,1240.00,2023-01-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,3598.28,2023-02-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,1923.42,2023-03-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,3678.53,2023-04-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,4765.17,2023-05-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,2453.72,2023-06-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,3456.53,2023-07-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,2674.37,2023-08-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,1444.28,2023-09-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,4102.48,2023-10-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,1650.25,2023-11-01T00:00:00.0000000,Salary,Company
106,Jozie James,Sales,5194.73,2023-12-01T00:00:00.0000000,Salary,Company
